1     1158 1 0 ELLX Luxembourg
100   60.05   1   0 0.00 1 3 0 06   49.61761388  006.18749852  106.99    0.00 3  2 0 1 24   49.63547288  006.23559852  106.99    0.00 3  2 1 1
102 H1   49.63124475  006.21661217 335.00   27.13   27.13   2 0   0 0.00 1
21   49.61906902  006.18996176  2  60.16   3.00 06  PAPI-4L
21   49.63368901  006.23224398  2 240.20   3.00 24  PAPI-4L
110   2 0.00 150.20 xxx
112  49.63250143  006.21826597  49.63239786  006.21792874  51 101 
115  49.63261290  006.21776779 
120 Linear Feature 21
112  49.63272820  006.21900254  49.63262010  006.21865028  51 101 
115  49.63283513  006.21848933 
120 Linear Feature 20
112  49.63191690  006.21978798  49.63207171  006.22029419  51 101 
115  49.63233875  006.22008634 
120 Linear Feature 19
112  49.63272764  006.21979765  49.63292809  006.21964858  51 101 
115  49.63281179  006.21927414 
120 Linear Feature 17
112  49.63222985  006.22080954  49.63207225  006.22029388  51 101 
111  49.63233875  006.22008634  51 101 
115  49.63314220  006.21948989 
120 Linear Feature 13
111  49.63019074  006.22137193  51 101 
111  49.63011338  006.22116338 
112  49.63011338  006.22116338  49.62986032  006.22048179  51 101 
115  49.63030853  006.22009555 
120 Linear Feature 11
111  49.63236988  006.21540853  51 101 
111  49.63197764  006.21570812 
112  49.63197764  006.21570812  49.63176315  006.21586707  51 101 
115  49.63185912  006.21617944 
120 Linear Feature 11
111  49.63248888  006.21425853  51 101 
111  49.63171271  006.21484754 
112  49.63171271  006.21484754  49.63150042  006.21501252  51 101 
115  49.63159419  006.21531886 
120 Linear Feature 10
111  49.63320188  006.21732953  51 101 
111  49.63261290  006.21776779 
112  49.63261290  006.21776779  49.63239786  006.21792874  51 101 
115  49.63227921  006.21754437 
120 Linear Feature 10
111  49.63321688  006.21820653  51 101 
111  49.63283513  006.21848933 
112  49.63283513  006.21848933  49.63262010  006.21865028  51 101 
115  49.63250143  006.21826597 
120 Linear Feature 10
111  49.63395188  006.21888753  51 101 
111  49.63314220  006.21948989 
112  49.63314220  006.21948989  49.63292717  006.21965084  51 101 
115  49.63281179  006.21927414 
120 Linear Feature 1
111  49.63395188  006.21888753  51 101 
111  49.63314220  006.21948989 
112  49.63314220  006.21948989  49.63292809  006.21964858  51 101 
111  49.63281179  006.21927414  51 101 
115  49.63159419  006.21531886 
120 Linear Feature 20
112  49.63144680  006.21825352  49.63164648  006.21891252  51 101 
111  49.63131112  006.21920903  51 101 
111  49.63030853  006.22009555 
112  49.63030853  006.22009555  49.62986032  006.22048179  51 101 
111  49.62960848  006.21980384  51 101 
115  49.62953322  006.21960111 
120 Linear Feature 21
112  49.63186721  006.21962580  49.63164648  006.21891252  51 101 
115  49.63131112  006.21920903 
14   49.63329688  006.21613653  400 0 Tower View
15   49.63847388  006.22729153 240.00 Cargo Area
15   49.62959088  006.20804553 154.00 CAX FBO
15   49.63004188  006.20771353 154.00 CAX FBO Heli Rooftop
15   49.63083088  006.21115853 154.00 General Aviation
15   49.63124475  006.21661217 155.00 Helipad
15   49.61863291  006.18699290 170.51 Hold Short Rwy 06 on B4
15   49.63667192  006.23483985 164.34 Hold Short Rwy 24 on A
15   49.63320188  006.21732953 154.00 Main Terminal
15   49.62442388  006.19555653 145.00 West Hangars
18   49.62968228  006.21627578 1 BCN
19   49.61857839  006.18891306 1 06 Windsock
19   49.63434421  006.23399456 1 24 Windsock
20   49.63615088  006.23527316 150.00  0 3 {@L}A{@R}24_CAT_{r1}/{r2}{@@}{@L}A
20   49.63584010  006.23435281 150.00  0 3 {@L}A{@R}24_CAT_{r1}/{r2}{@@}{@L}A
20   49.63616485  006.23243723  60.20  0 3 {@L}A{@R}24_CAT_{r1}/{r2}{@@}{@L}A{@Y}CARGO_AREA{^r}
20   49.63642849  006.23221024  60.20  0 3 {@L}A{@R}24_CAT_{r1}/{r2}{@@}{@L}A{@Y}CARGO_AREA{^r}
20   49.63292416  006.22365353  62.00  0 3 {@L}A{@Y}{^l}CARGO_AREA{@R}{^u}_24{@@}{@L}A{@Y}{^l}C|MAIN_TERMINAL{^r}
20   49.63321426  006.22344164  62.00  0 3 {@L}A{@Y}{^l}CARGO_AREA{@R}{^u}_24{@@}{@L}A{@Y}{^l}C|MAIN_TERMINAL{^r}
20   49.63072310  006.21646976 244.00  0 3 {@L}A{@Y}{^l}D1|MAIN_TERMINAL{^r}{@@}{@L}A{@Y}{^l}MAIN_TERMINAL|C{^r}
20   49.63013888  006.21457254  64.00  0 3 {@L}A{@Y}{^l}MAIN_TERMINAL|{^u}_A_{^u}|C{^r}{@@}{@L}A{@Y}{^l}D1|{^u}B1{^u}|GENERAL_AVIATION{^r}
20   49.63175069  006.21984712  64.00  0 3 {@L}A{@Y}{^l}MAIN_TERMINAL|{^u}A{@@}{@L}A{@Y}{^l}C|{^u}B1
20   49.62786509  006.20723694  64.00  0 3 {@L}B1{@Y}{^l}CAX_FBO/GENERAL_AVIATION|{^u}A|D1{^rd}{@@}{@L}B1{@Y}{^l}E|{^u}B2
20   49.62856274  006.20943952 244.00  0 3 {@L}B1{@Y}{^l}E|{^u}B2|CAX_FBO{^r}{@@}{@L}B1{@Y}{^l}GENERAL_AVIATION|{^u}B1|D1{^r}
20   49.62693247  006.20446619 224.80  0 3 {@L}B2{@Y}{^lu}F|{^u}B3|P4{^r}{@@}{@L}B2{@Y}{^l}CAX_FBO/GENERAL_AVIATION|{^u}B1|E{^rd}
20   49.62667398  006.20490388 224.80  0 3 {@L}B2{@Y}{^lu}F|{^u}B3|P4{^r}{@@}{@L}B2{@Y}{^l}CAX_FBO/GENERAL_AVIATION|{^u}B1|E{^rd}
20   49.62213009  006.19420857 240.20  0 3 {@L}B3{@Y}{^l}G|{^u}B4{@R}06_CAT_{r1}{@@}{@L}B3{@Y}{^l}WEST_HANGARS|{^u}B2|F{^r}
20   49.62183420  006.19445591 240.20  0 3 {@L}B3{@Y}{^l}G|{^u}B4{@R}06_CAT_{r1}{@@}{@L}B3{@Y}{^l}WEST_HANGARS|{^u}B2|F{^r}
20   49.62414564  006.20066512 240.20  0 3 {@L}B3{@Y}{^l}G|{^u}B4|WEST_HANGARS{^r}{@@}{@L}B3{@Y}{^l}P4|{^u}B2|F{^r}
20   49.62445428  006.20038817 240.20  0 3 {@L}B3{@Y}{^l}G|{^u}B4|WEST_HANGARS{^r}{@@}{@L}B3{@Y}{^l}P4|{^u}B2|F{^r}
20   49.61840365  006.18744268 149.74  0 3 {@L}B4{@R}06_CAT_{r1}{@@}{@L}B4{@Y}{^ru}B4
20   49.61980166  006.18802724 240.20  0 3 {@L}B4{@Y}{^u}B4{@R}06_CAT_{r1}{@@}{@L}B4{@Y}{^u}B3|G{^r}
20   49.61953325  006.18825311 240.20  0 3 {@L}B4{@Y}{^u}B4{@R}06_CAT_{r1}{@@}{@L}B4{@Y}{^u}B3|G{^r}
20   49.63109456  006.21987385 150.20  0 3 {@L}C{@R}{^l}_24-06_{^r}{@@}{@L}C{@Y}{^l}_A_{^r}|{^u}_MAIN_TERMINAL
20   49.63083108  006.21911692 150.20  0 3 {@L}C{@R}{^l}_24-06_{^r}{@@}{@L}C{@Y}{^l}_A_{^r}|{^u}_MAIN_TERMINAL
20   49.62813027  006.21262042 208.42  0 3 {@L}D1{@R}{^l}_24-06_{^r}{@@}{@L}D1{@Y}{^l}B1|{^lu}GENERAL_AVIATION{^lu}|A{^r}
20   49.62835775  006.21194245 208.42  0 3 {@L}D1{@R}{^l}_24-06_{^r}{@@}{@L}D1{@Y}{^l}B1|{^lu}GENERAL_AVIATION{^lu}|A{^r}
20   49.62611636  006.20683209  90.00  0 3 {@L}D2{@R}{^lu}_24-06_{^rd}{@@}{@L}D2{@Y}{^l}_E_{^r}
20   49.62577948  006.20684433  90.00  0 3 {@L}D2{@R}{^lu}_24-06_{^rd}{@@}{@L}D2{@Y}{^l}_E_{^r}
20   49.62532609  006.20443581 201.20  0 3 {@L}E{@R}{^ld}_24-06_{^ru}{@@}{@L}E{@Y}{^l}B2|B1{^ru}|D2{^r}
20   49.62513792  006.20519205 201.20  0 3 {@L}E{@R}{^ld}_24-06_{^ru}{@@}{@L}E{@Y}{^l}B2|B1{^ru}|D2{^r}
20   49.62474076  006.20298543 150.20  0 3 {@L}F{@R}{^l}_24-06_{^r}{@@}{@L}F{@Y}{^l}B3|B2{^r}
20   49.62488244  006.20340272 150.20  0 3 {@L}F{@R}{^l}_24-06_{^r}{@@}{@L}F{@Y}{^l}B3|B2{^r}
20   49.62099985  006.19354160 150.20  0 3 {@L}G{@R}{^l}_24-06_{^r}{@@}{@L}G{@Y}{^l}B4|B3{^r}
20   49.62113873  006.19395462 150.20  0 3 {@L}G{@R}{^l}_24-06_{^r}{@@}{@L}G{@Y}{^l}B4|B3{^r}
20   49.62489599  006.20111477 224.80  0 3 {@R}_STOP_
20   49.62462174  006.20051974  60.00  0 3 {@R}_STOP_
20   49.62311285  006.19651188 240.00  0 3 {@R}_STOP_
20   49.62321960  006.19641455 240.00  0 3 {@R}_STOP_
20   49.62389620  006.19822147 240.00  0 3 {@R}_STOP_
20   49.62379598  006.19832799 240.00  0 3 {@R}_STOP_
20   49.62294274  006.19567383  60.00  0 3 {@R}_STOP_
20   49.62283555  006.19577219  60.00  0 3 {@R}_STOP_
20   49.62348773  006.19750482  60.00  0 3 {@R}_STOP_
20   49.62359268  006.19741070  60.00  0 3 {@R}_STOP_
20   49.62472202  006.20042828  60.00  0 3 {@R}_STOP_
20   49.62498995  006.20097189 224.80  0 3 {@R}_STOP_
20   49.62300392  006.19578832 146.00  0 3 {@Y}{^l}_B3_{^r}{@@}{^u}_WEST_HANGARS_{^u}
20   49.62319085  006.19625955 146.00  0 3 {@Y}{^l}_B3_{^r}{@@}{^u}_WEST_HANGARS_{^u}
20   49.62363909  006.19749344 146.00  0 3 {@Y}{^l}_B3_{^r}{@@}{^u}_WEST_HANGARS_{^u}
20   49.62388341  006.19808708 145.00  0 3 {@Y}{^l}_B3_{^r}{@@}{^u}_WEST_HANGARS_{^u}
20   49.62478159  006.20037738 120.00  0 3 {@Y}{^l}B2|B3{^r}{@@}{^u}_P4_{^u}
20   49.62505472  006.20061687 120.00  0 3 {@Y}{^l}B2|B3{^r}{@@}{^u}_P4_{^u}
20   49.61938726  006.19316932  60.20  0 3 {@Y}{^l}G{@@}{^u}B4
20   49.61989508  006.19274162  60.20  0 3 {@Y}{^l}G{@@}{^u}B4
20   49.63024721  006.22241047 240.20  0 3 {@Y}C{^r}{@@}{@Y}A{^l}
20   49.63074366  006.22198115 240.20  0 3 {@Y}C{^r}{@@}{@Y}A{^l}
20   49.62692286  006.21345495 240.20  0 3 {@Y}D1{^rd}|D2{^ru}{@@}{@Y}{^l}C|{^u}A
20   49.62743097  006.21304196 240.20  0 3 {@Y}D1{^rd}|D2{^ru}{@@}{@Y}{^l}C|{^u}A
20   49.62460247  006.20722020 240.20  0 3 {@Y}F{^r}|E{^rd}{@@}{^ld}D2|{^lu}D1
20   49.62511353  006.20676507 240.20  0 3 {@Y}F{^r}|E{^rd}{@@}{^ld}D2|{^lu}D1
20   49.62051246  006.19623651 240.20  0 3 {@Y}G{^r}|{^u}B4{@@}{^l}F|{^lu}E
20   49.62103090  006.19577615 240.20  0 3 {@Y}G{^r}|{^u}B4{@@}{^l}F|{^lu}E
50 13555 ATIS
54 11810 TWR
55 11890 APP
