1       18 1 0 LFKJ Ajaccio Napoleon Bonaparte
100   45.11   2   2 0.25 0 2 1 02   41.91175900  008.79493500    0.00   49.99 3  0 0 1 20   41.93140500  008.80718100  227.08   70.10 3  0 0 1
100   29.87   2   0 0.25 0 2 0 10   41.92444700  008.79174100    0.00   49.99 2  0 0 0 28   41.92372900  008.80440100   64.92    0.00 2  0 0 0
21   41.92753200  008.80530800  2 204.92   3.70  PAPI-4L
110   1 0.25  24.92 Taxiway
116  41.92192600  008.79241100  41.92192700  008.79228800 
120 Centreline for Taxi join
112  41.92192700  008.79230800  41.92192800  008.79218500  51 101 
116  41.92181900  008.79212300  41.92174600  008.79212300 
120 Centreline for Taxi join
112  41.92193000  008.79194000  41.92192900  008.79206300  51 101 
116  41.92181900  008.79212300  41.92174600  008.79212300 
120 Taxi A hold short
111  41.91234800  008.79416700  54 
115  41.91253600  008.79441900 
120 Taxi D2 hold short
111  41.92344400  008.79912100  54 
115  41.92355400  008.79879700 
120 Taxi D hold short
111  41.92955600  008.80505400  54 
115  41.92933400  008.80494200 
120 Taxi C hold short
111  41.92785300  008.80395600  54 
115  41.92763900  008.80381400 
120 Taxi B hold short
111  41.92250700  008.80075400  54 
115  41.92285300  008.80079200 
120 Taxi F hold short
111  41.92234500  008.80246100  54 
115  41.92224100  008.80239500 
120 Taxi D1 hold short
111  41.92452800  008.79942700  54 
115  41.92442400  008.79971300 
120 Taxi E hold short
111  41.91994800  008.80089400  54 
115  41.91975600  008.80078000 
120 Taxi hold short
111  41.92388100  008.79148700  54 
115  41.92388900  008.79131500 
120 Taxi G4 hold short
111  41.92502400  008.79166700  54 
115  41.92501000  008.79191100 
120 Gate 9
111  41.91739500  008.79414400  51 
115  41.91727300  008.79406000 
120 Gate 5
111  41.91972500  008.79577900  51 
115  41.91965300  008.79562300 
120 Gate 4
111  41.91908500  008.79536000  51 
115  41.91901300  008.79520400 
120 Gate 6
111  41.92037800  008.79618800  51 
115  41.92030600  008.79603200 
120 Gate 9
111  41.92098800  008.79654300  51 
115  41.92091600  008.79638700 
120 Gate 14
111  41.92229900  008.79741100  51 
115  41.92222700  008.79725500 
120 Gate 12
111  41.92168100  008.79700400  51 
115  41.92160900  008.79684800 
120 Gate 3
111  41.91843100  008.79494200  51 
115  41.91835900  008.79478600 
120 Gate 8
111  41.91786500  008.79450400  51 
115  41.91779300  008.79434800 
120 Gate 15
111  41.91823000  008.80208500  51 
115  41.91826400  008.80214100 
120 GA Ramp 18
111  41.92278000  008.79144400  51 
115  41.92277600  008.79151800 
120 GA Ramp 14
111  41.91952700  008.80282100  51 
115  41.91957700  008.80285100 
120 GA Ramp 20
111  41.92283500  008.79052800  51 
115  41.92283100  008.79060200 
120 GA Ramp 13
111  41.91981100  008.80299200  51 
115  41.91986100  008.80302400 
120 GA Ramp 19
111  41.92280500  008.79099800  51 
115  41.92280100  008.79107200 
120 GA Ramp 11
111  41.92041300  008.80336000  51 
115  41.92046300  008.80339200 
120 GA Ramp 12
111  41.92013000  008.80317800  51 
115  41.92018000  008.80321000 
120 Mil cargo Ramp 17
111  41.92268800  008.78840700  51 
115  41.92266200  008.78847100 
120 Military Ramp
111  41.92554200  008.79171900  51 
115  41.92551600  008.79165500 
120 Mil cargo Ramp 16
111  41.92230800  008.78936200  51 
115  41.92228200  008.78942600 
120 Apron edge
111  41.92092500  008.80335100 102 
111  41.92066800  008.80404800 102 
111  41.91917000  008.80318200 102 
111  41.91904200  008.80289500 102 
115  41.91921600  008.80237700 
120 Apron edge
111  41.92258700  008.78729800 102 
111  41.92171400  008.78953200 102 
111  41.92237700  008.79001600 102 
111  41.92267300  008.79000600 102 
115  41.92277000  008.78977100 
120 Apron edge
111  41.92288200  008.78947600 102 
111  41.92349600  008.78796100 102 
115  41.92258700  008.78729800 
120 Apron edge
111  41.91683800  008.79507400 102 
115  41.92252500  008.79863800 
120 Apron edge
111  41.92255000  008.79814900 102 
111  41.92262400  008.79700500 102 
111  41.91730700  008.79370700 102 
115  41.91698100  008.79459100 
120 Apron edge
111  41.93060800  008.80636200 102 
111  41.93134800  008.80630800 102 
115  41.93151700  008.80639900 
120 Apron edge
111  41.93152200  008.80641500 102 
111  41.93161300  008.80657800 102 
111  41.93162800  008.80677400 102 
115  41.93157400  008.80696100 
120 Apron edge
111  41.91271900  008.79520400 102 
111  41.91258700  008.79501100 102 
111  41.91254400  008.79483100 102 
111  41.91253300  008.79461200 102 
111  41.91257200  008.79442000 102 
115  41.91265400  008.79427500 
120 Apron edge
111  41.91271400  008.79375300 102 
111  41.91203900  008.79418600 102 
115  41.91187400  008.79466900 
120 Apron edge
111  41.91181400  008.79464900 102 
111  41.91144700  008.79442000 102 
111  41.91126600  008.79494500 102 
115  41.91166400  008.79518500 
120 Apron edge
111  41.92408300  008.80443100 102 
115  41.92417200  008.80301300 
120 Apron edge
111  41.92421300  008.80237000 102 
115  41.92438600  008.79972600 
120 Apron edge
111  41.92455700  008.79680600 102 
115  41.92440800  008.79926600 
14   41.92033200  008.79530600   54 0 Campo Dell Oro Tower
15   41.92043800  008.80337600 116.18 GA Ramp 11
15   41.92015500  008.80319400 116.18 GA Ramp 12
15   41.91983600  008.80300800 116.18 GA Ramp 13
15   41.91955200  008.80283600 116.18 GA Ramp 14
15   41.92277800  008.79148100 183.68 GA Ramp 18
15   41.92280300  008.79103500 183.68 GA Ramp 19
15   41.92283300  008.79056500 183.68 GA Ramp 20
15   41.92251000  008.79351900 183.68 GA Ramp 21
15   41.92251800  008.79335600 183.68 GA Ramp 22
15   41.92253000  008.79318300 183.68 GA Ramp 23
15   41.92155600  008.79299500   0.59 GA Ramp 24
15   41.92155800  008.79319400   0.59 GA Ramp 25
15   41.92158700  008.79258200   0.59 GA Ramp 26
15   41.92166900  008.79212200   0.59 GA Ramp 27
15   41.92152100  008.79360200   0.59 GA Ramp 28
15   41.92151800  008.79398500   0.59 GA Ramp 29
15   41.92206900  008.79304400 179.23 GA Ramp 30
15   41.92206800  008.79327800 179.23 GA Ramp 31
15   41.92206600  008.79348600 179.23 GA Ramp 32
15   41.92164500  008.79692600 328.15 Gate 12
15   41.92226300  008.79733300 328.15 Gate 14
15   41.91824700  008.80211300 139.68 Gate 15
15   41.91839500  008.79486400 328.15 Gate 3
15   41.91904900  008.79528200 328.15 Gate 4
15   41.91968900  008.79570100 328.15 Gate 5
15   41.92034200  008.79611000 328.15 Gate 6
15   41.91782900  008.79442600 328.15 Gate 8
15   41.91733400  008.79410200 328.15 Gate 9
15   41.92095200  008.79646500 328.15 Gate 9
15   41.92229500  008.78939400 208.06 Mil cargo Ramp 16
15   41.92267500  008.78843900 208.06 Mil cargo Ramp 17
15   41.92552900  008.79168700 331.85 Military Ramp
18   41.91506800  008.79485800 1 Light beacon
19   41.92189700  008.79925500 1 Windsock
19   41.92839200  008.80344400 1 Windsock
19   41.92189700  008.79925500 1 Windsock
19   41.92839200  008.80344400 1 Windsock
20   41.91259500  008.79449800 137.25  0 2 {@L}A{@R}02
20   41.92290300  008.80080100  93.77  0 2 {@L}B{@R}20-02
20   41.92785000  008.80403700 115.76  0 2 {@L}C{@R}02-20
20   41.92799500  008.80273600 294.99  0 2 {@L}C{@Y}{^l}D1_D{^r}
20   41.92956200  008.80510500 114.11  0 2 {@L}D{@R}02-20
20   41.92845500  008.80290700 220.87  0 2 {@L}D{@Y}{^l}C_D1{^u}
20   41.92605700  008.80075300 205.40  0 2 {@L}D1
20   41.92441800  008.79975600 208.09  0 2 {@L}D1{@R}28-10
20   41.92805700  008.80233600  43.06  0 2 {@L}D1{@Y}C{^r}_D{^u}
20   41.92361300  008.79876800  24.60  0 2 {@L}D2{@R}10-28
20   41.92316000  008.79901300 198.21  0 2 {@L}D2{@Y}{^l}B_G1{^r}
20   41.91973700  008.80074800 294.92  0 2 {@L}E{@R}02-20
20   41.91933700  008.80196500 115.69  0 2 {@L}E{@Y}E1{^r}
20   41.92221500  008.80233600 295.51  0 2 {@L}F{@R}02-20
20   41.92276300  008.79647300 274.06  0 2 {@L}G1{@Y}G2{^u}
20   41.92313800  008.79509500  95.04  0 2 {@L}G2{@Y}G1{^u}
20   41.92307700  008.79191700 275.08  0 2 {@L}G2{@Y}G3{^r}
20   41.92391200  008.79128200   4.23  0 2 {@L}G3{@R}10
20   41.92356800  008.79156200 164.02  0 2 {@L}G3{@Y}{^l}G2
20   41.92498300  008.79194700 184.44  0 2 {@L}G4{@R}10
20   41.91506800  008.79393200 205.92  0 2 {@L}T{@Y}{^lu}A
20   41.92366000  008.80278100 273.20  0 2 {@R}02-20
20   41.92371500  008.80183800  97.09  0 2 {@R}02-20
20   41.92401800  008.80206300  97.09  0 2 {@R}02-20
20   41.92405200  008.80225400 205.43  0 2 {@R}10-28
20   41.92401200  008.80291100 205.29  0 2 {@R}10-28
20   41.92358300  008.80266400  26.43  0 2 {@R}10-28
20   41.92364000  008.80196800  25.73  0 2 {@R}10-28
20   41.92720800  008.80422200  24.54  0 2 {@Y}{^l}C
20   41.92884300  008.80522900  25.07  0 2 {@Y}{^l}D
20   41.92302200  008.79824300  94.92  0 2 {@Y}{^l}D2{^u}B{@L}G1{@Y}T{^r}
20   41.92033500  008.80062800 205.06  0 2 {@Y}{^l}E
20   41.92264200  008.80207100 206.21  0 2 {@Y}{^l}F
20   41.92226500  008.80111300  26.65  0 2 {@Y}{^l}F_B{^lu}
20   41.92245300  008.79870800  25.68  0 2 {@Y}{^l}G1_{^u}D2{@L}T{@Y}B{^r}
20   41.92277500  008.79513800   7.96  0 2 {@Y}{^l}G2_G1{^r}
20   41.92339200  008.79137400  95.58  0 2 {@Y}{^l}G3_G2{^u}
20   41.92425200  008.79212200 274.75  0 2 {@Y}{^rd}G3_G4{^r}
20   41.91304200  008.79534700 204.08  0 2 {@Y}A{^r}
20   41.92299800  008.80158600 206.55  0 2 {@Y}B{^ru}
20   41.92791200  008.80465700 203.44  0 2 {@Y}C{^r}
20   41.92413800  008.79982100 273.50  0 2 {@Y}D1{^r}
20   41.91958500  008.80015600  24.92  0 2 {@Y}E{^r}
20   41.92217700  008.80177300  24.85  0 2 {@Y}F{^r}
50 12692 LFKJ ATIS
53 12170 AJACCIO GND
54 11810 AJACCIO TWR
55 12105 AJACCIO APP
