ADAM AIRCRAFT (USA);A-500, CarbonAero ;A500 ;2P/S ;NULL;NULL;II ;NULL
CESSNA AIRCRAFT COMPANY (USA);310, T310 (U-3, L-27) ;C310 ;2P/S ;2,800 ;2,000 ;II ;4
CESSNA AIRCRAFT COMPANY (USA);320 (Executive) Skyknight ;C320 ;2P/S ;2,900 ;2,000 ;II ;5
CESSNA AIRCRAFT COMPANY (USA);335;C335 ;2P/S ;2,200 ;2,000 ;II ;4
CESSNA AIRCRAFT COMPANY (USA);336 Skymaster ;C336 ;2P/S ;1,340 ;1,340 ;II ;NULL
CESSNA AIRCRAFT COMPANY (USA);337, M337, MC337, T337B/C/D/E/F/H (Turbo), Super Skymaster (O-2) ;C337 ;2P/S ;1,250 ;1,500 ;II ;3
CESSNA AIRCRAFT COMPANY (USA);T337G, P337 Pressurized Skymaster ;P337 ;2P/S ;1,250 ;1,500 ;II ;3
CESSNA AIRCRAFT COMPANY (USA);340;C340 ;2P/S ;2,900 ;2,000 ;II ;4
CESSNA AIRCRAFT COMPANY (USA);401, 402, Utililiner, Businessliner ;C402 ;2P/S ;2,500 ;2,000 ;II ;3
CESSNA AIRCRAFT COMPANY (USA);402 (turbine) ;C02T ;2T/S ;NULL;NULL;II ;NULL
CESSNA AIRCRAFT COMPANY (USA);404 Titan ;C404 ;2P/S ;2,600 ;2,000 ;II ;5
CESSNA AIRCRAFT COMPANY (USA);404 (turbine) ;C04T ;2T/S ;NULL;NULL;II ;NULL
CESSNA AIRCRAFT COMPANY (USA);F406 Caravan 2, Vigilant ;F406 ;2T/S ;1,850 ;NULL;II ;6
CESSNA AIRCRAFT COMPANY (USA);411;C411 ;2P/S ;2,800 ;2,000 ;II ;4
CESSNA AIRCRAFT COMPANY (USA);414, Chancellor 414 ;C414 ;2P/S ;2,300 ;2,000 ;II ;6
CESSNA AIRCRAFT COMPANY (USA);414 (turbine) ;C14T ;2T/S ;NULL;NULL;II ;NULL
CESSNA AIRCRAFT COMPANY (USA);421, Golden Eagle, Executive Commuter ;C421 ;2P/S ;NULL;NULL;II ;6
CESSNA AIRCRAFT COMPANY (USA);421 (turbine) ;C21T ;2T/S ;NULL;NULL;II ;NULL
CESSNA AIRCRAFT COMPANY (USA);425, Corsair, Conquest 1 ;C425 ;2T/S ;3,500 ;2,500 ;II ;5
CESSNA AIRCRAFT COMPANY (USA);441 Conquest, Conquest 2 ;C441 ;2T/S ;4,200 ;3,000 ;II ;6
CESSNA AIRCRAFT COMPANY (USA);5000 Citation, Citation 1 ;C500 ;2J/S ;3,100 ;3,500 ;III ;6
CESSNA AIRCRAFT COMPANY (USA);501 Citation 1SP ;C501 ;2J/S ;4,300 ;3,000 ;III ;6
CESSNA AIRCRAFT COMPANY (USA);525 Citationjet Citation CJ1 ;C525 ;2J/S ;3,000 ;NULL;III ;7
CESSNA AIRCRAFT COMPANY (USA);525A Citation CJ2 ;C25A ;2J/S ;3,870 ;NULL;III ;NULL
CESSNA AIRCRAFT COMPANY (USA);525B Citation CJ3 ;C25B ;2J/S+ ;NULL;NULL;III ;NULL
CESSNA AIRCRAFT COMPANY (USA);526 Citationjet ;C526 ;2J/S ;3,000 ;NULL;III ;NULL
CESSNA AIRCRAFT COMPANY (USA);550, S550, 552 Citation 2/S2/Bravo (T-47, U-20) ;C550 ;2J/S+ ;5,300 ;3,000 ;III ;7
CESSNA AIRCRAFT COMPANY (USA);551 Citation 2SP ;C551 ;2J/S ;5,300 ;3,000 ;III ;5
CESSNA AIRCRAFT COMPANY (USA);560 Citation 5/5 Ultra/5Ultra Encore (UC-35, OT-47, TR-20) ;C560 ;2J/S+ ;6,000 ;3,500 ;III ;8
CESSNA AIRCRAFT COMPANY (USA);650 Citation 3/6/7 ;C650 ;2J/S+ ;3,900 ;4,000 ;III ;8
CESSNA AIRCRAFT COMPANY (USA);680 Citation Sovereign ;C680 ;2J/S+ ;NULL;NULL;III ;NULL
CESSNA AIRCRAFT COMPANY (USA);750 Citation 10 ;C750 ;2J/S+ ;3,500 ;3,500 ;III ;9
CESSNA AIRCRAFT COMPANY (USA);AW ;CAW ;1P/S ;NULL;NULL;I ;NULL
CESSNA AIRCRAFT COMPANY (USA);O-1, TO-1, OE, L-19, TL-19 Bird Dog (305,321) ;O1 ;1P/S ;1,150 ;1,150 ;I ;NULL
CESSNA AIRCRAFT COMPANY (USA);T37 (318A/B/C) ;T37* ;2J/S ;3,000 ;3,000 ;III ;NULL
CESSNA AIRCRAFT COMPANY (USA);T-50 Bobcat (AT-8, AT-17, UC-78, Crane) ;T50 ;2P/S ;NULL;NULL;II ;NULL
CESSNA AIRCRAFT COMPANY (USA);DC-6 ;CDC6 ;1P/S ;NULL;NULL;I ;NULL
CESSNA AIRCRAFT COMPANY (USA);C-34/37/38/145/165, Airmaster ;CMAS ;1P/S ;NULL;NULL;I ;NULL
CHRISTEN INDUSTRIES, INC. (USA);A-1 Huskey ;HUSK ;1P/S ;1,500 ;1,500 ;I ;NULL
CIRRUS (USA);SR-20, SR-20 SRV, SRV ;SR20 ;1P/S ;NULL;NULL;I ;1
CIRRUS (USA);SR-22 ;SR22 ;1P/S ;NULL;NULL;I ;1
CIRRUS (USA);VK-30 Cirrus ;VK3P ;1P/S ;NULL;NULL;I ;NULL
CONSTRUCCIONES AERONAUTICAS (CASA) (Spain);C-212 Aviocar (T-12, TE-12, TR-12, D-3, Tp89) ;C212 ;2T/S+ ;900;900;III ;5
CURTISS-WRIGHT CORP. (USA);C-46 Commando (CW-20) ;C46 ;2P/L ;600;700;III ;NULL
DASSAULT-BREGUET (France);1150 Atlantic, Altantique 2 ;ATLA ;2T/L ;NULL;NULL;III ;NULL
DASSAULT-BREGUET (France);Alpha Jet ;AJET ;2J/S ;NULL;NULL;III ;NULL
DASSAULT-BREGUET (France);Falcon 10/100, Mystere 10/100 ;FA10 ;2J/S+ ;2,300 ;1,600 ;III ;8
DASSAULT-BREGUET (France);Falcon 20/100, Mystere 20/200, Gardian (HU-25, (T-11, TM-11) ;FA20 ;2J/S+ ;2,000 ;2,200 ;III ;7
DASSAULT-BREGUET (France);Falcon 50, Mystere 50 (T-16) ;FA50 ;3J/S+ ;1,800 ;1,600 ;III ;8
DASSAULT-BREGUET (France);Falcon 900, Mystere 900 (T-18) ;F900 ;3J/L ;2,000 ;1,700 ;III ;8
DASSAULT-BREGUET (France);Falcon 2000 ;F2TH ;2J/S+ ;2,500 ;1,500 ;III ;8
DASSAULT-BREGUET (France);Jaguar ;JAGR ;2J/S+ ;NULL;NULL;III ;NULL
DASSAULT-BREGUET (France);Mirage 2000, Vajara ;MIR2 ;1J/S+ ;NULL;NULL;III ;NULL
DASSAULT-BREGUET (France);Mirage 3/5/50 (F-103) ;MIRA ;1J/S+ ;NULL;NULL;III ;NULL
DASSAULT-BREGUET (France);Mirage F1 (C-14, CE-14) ;MRF1 ;1J/S+ ;NULL;NULL;III ;NULL
DASSAULT-BREGUET (France);Super Etendard ;ETAR ;1J/S+ ;NULL;NULL;III ;NULL
DEHAVILLAND (Canada/UK);DHC-1 ;DHC1 ;1P/S ;900;1,000 ;I ;1
DEHAVILLAND (Canada/UK);DHC-2 Mk1 Beaver (U-6, L-20) ;DHC2 ;1P/S ;840;1,000 ;I ;2
DEHAVILLAND (Canada/UK);DHC-2 Mk3 Turbo Beaver ;DH2T ;1T/S ;1,220 ;1,000 ;I ;2
DEHAVILLAND (Canada/UK);DHC-3 Otter (U-1, NU-1, UC) ;DHC3 ;1P/S ;750;1,000 ;I ;1
DEHAVILLAND (Canada/UK);DHC-3 Turbo Otter ;DH3T ;1T/S ;NULL;NULL;I ;NULL
DEHAVILLAND (Canada/UK);DHC-4 Caribou (C-7, CV-2) ;DHC4 ;2P/S+ ;1,350 ;1,000 ;III ;5
DEHAVILLAND (Canada/UK);DHC-5 (C-8, CV-7, CC-115, C-115) ;DHC5 ;2T/L ;2,000 ;1,500 ;III ;1
DEHAVILLAND (Canada/UK);DHC-6 Twin Otter (UV-18, CC-138) ;DHC6 ;2T/S ;1,600 ;1,800 ;II ;4
DEHAVILLAND (Canada/UK);DHC-7 Dash 7 (O-5, EO-5) ;DHC7 ;4T/L ;4,000 ;4,000 ;III ;2
DEHAVILLAND (Canada/UK);DHC8 _ 100 Dash 8 (E-9, CT-142, CC-142) ;DH8A ;2T/L ;1,500 ;1,500 ;III ;4
DEHAVILLAND (Canada/UK);DHC8 _ 200 Dash 8 ;DH8B ;2T/L ;1,500 ;1,500 ;III ;4
DEHAVILLAND (Canada/UK);DHC8 _ 300 Dash 8 ;DH8C ;2T/L ;1,500 ;1,500 ;III ;5
DEHAVILLAND (Canada/UK);DHC8 _ 400 Dash 8 ;DH8D ;2T/L ;2,500 ;2,500 ;III ;6
DEHAVILLAND (Canada/UK);DH-104 Dove, Sea Devon ;DOVE ;2P/S ;1,420 ;1,420 ;II ;4
DEHAVILLAND (Canada/UK);DH-114 Heron ;HERN ;4P/S+ ;1,075 ;1,075 ;III ;8
DIAMOND (Canada);DA-20/22, DV-20 Katana, Speed Katana;DV20 ;1P/S ;525;500;I ;2
DIAMOND (Canada);DA-42 TwinStar ;DA42 ;2P/S ;1,100 ;500;II ;2
DORNIER GmbH (FRG);228;D228 ;2T/S+ ;2,000 ;2,000 ;III ;2
DORNIER GmbH (FRG);328;D328 ;2T/S+ ;2,000 ;2,000 ;III ;7
DORNIER GmbH (FRG);27;DO27 ;1P/S ;700;800;I ;1
DORNIER GmbH (FRG);Do 28 A/B (Agur) ;DO28 ;2P/S ;1,500 ;1,500 ;II ;NULL
DORNIER GmbH (FRG);Do 28D/D-1/D-2, 128-2 Skyservant ;D28D ;2P/S ;1,000 ;- ;II ;1
DORNIER GmbH (FRG);Do-28D-6, 128-6 Turbo Skyservant ;D28T ;2T/S ;1,500 ;- ;II ;1
ECLIPSE AVIATION (USA);Eclipse 500 ;EA50 ;2J/S ;1,725 ;3,000 ;III ;4
EMBRAER (Brazil);CBA-123 Vector ;VECT ;2T/S+ ;NULL;NULL;III ;NULL
EMBRAER (Brazil);EMB-110/111 Bandeirante (C-95, EC-95, P-95, R-95, SC-95) ;E110 ;2T/S+ ;1,500 ;1,500 ;III ;7
EMBRAER (Brazil);EMB-120 Brasilia (VC-97) ;E120 ;2T/S+ ;2,300 ;2,300 ;III ;7
EMBRAER (Brazil);EMB-121 Xingu (VU-9, EC-9) ;E121 ;2T/S+ ;NULL;NULL;III ;NULL
EMBRAER (Brazil);EMB-135, ERJ-135/140 ;E135 ;2J/L ;2,410 ;2,030 ;III ;7
EMBRAER (Brazil);EMB-145, ERJ-145 (R-99) ;E145 ;2J/L ;2,350 ;2,190 ;III ;7
EMBRAER (Brazil);EMB-145XR ;E45X ;2J/L ;NULL;NULL;III ;7
EMBRAER (Brazil);EMB-170/175 ;E170 ;2J/L ;NULL;NULL;III ;7
EMBRAER (Brazil);EMB-190/195 ;E190 ;2J/L ;NULL;NULL;III ;7
EXTRA (FRG);200;E200 ;1P/S ;1,000 ;1,000 ;I ;NULL
EXTRA (FRG);230;E230 ;1P/S ;1,500 ;1,500 ;I ;NULL
EXTRA (FRG);300, 350 ;E300 ;1P/S ;2,500 ;1,500 ;I ;NULL
EXTRA (FRG);400;E400 ;1P/S ;1,500 ;1,500 ;I ;NULL
EXTRA (FRG);500;E500 ;1T/S ;1,800 ;1,800 ;I ;NULL
FAIRCHILD DORNIER (USA/FRG);228;D228 ;2T/S+ ;2,000 ;2,000 ;III ;NULL
FAIRCHILD DORNIER (USA/FRG);328;D328 ;2T/S+ ;2,000 ;2,000 ;III ;NULL
FAIRCHILD DORNIER (USA/FRG);328JET, Envoy 3 ;J328 ;2J/S+ ;NULL;NULL;III ;6
FAIRCHILD DORNIER (USA/FRG);728JET, Envoy 7 ;J728 ;2J/L ;NULL;NULL;III ;NULL
FAIRCHILD INDUSTRIES (USA);A-10, OA-10 Thunderbolt 2 ;A10* ;2J/L ;6,000 ;5,000 ;III ;NULL
FAIRCHILD INDUSTRIES (USA);C-119, R4Q Flying Box Car (F-78) ;C119 ;2P/L ;750;750;III ;5
FAIRCHILD INDUSTRIES (USA);C-123 Provider ;C123 ;2P/L ;890;1,000 ;III ;NULL
FAIRCHILD INDUSTRIES (USA);F-27, FH-227 ;F27 ;2T/L ;3,000 ;3,000 ;III ;5
FAIRCHILD INDUSTRIES (USA);M-62 (PT-19/23/26, T-19 Cornell) ;FA62 ;1P/S ;650;650;I ;NULL
FAIRCHILD INDUSTRIES (USA);Pilatus/Peacemaker/Porter ;PC6P ;1P/S ;580;600;I ;NULL
FAIRCHILD INDUSTRIES (USA);PC-6 Heli-Porter ;PC6T ;1T/S ;580;600;I ;NULL
FAIRCHILD INDUSTRIES (USA);Merlin 2 ;SW2 ;2T/S ;2,350 ;2,500 ;II ;6
FAIRCHILD INDUSTRIES (USA);SA-226TB, SA-227TT Merlin 3, Fairchild 300 ;SW3 ;2T/S+ ;2,350 ;2,500 ;III ;5
FAIRCHILD INDUSTRIES (USA);SA-226AC, SA-227AC/AT Metro, Merlin 4, Expediter ;SW4 ;2T/S+ ;2,400 ;2,500 ;III ;5
FOKKER BV (Netherlands);F-27 Friendship, Troopship, Maritime (C-31, D-2) ;F27 ;2T/L ;3,000 ;3,000 ;III ;NULL
FOKKER BV (Netherlands);F-28, Fellowship ;F28 ;2J/L ;4,650 ;2,000 ;III ;7
FOKKER BV (Netherlands);50, Maritime Enforcer ;F50 ;2T/L ;3,500 ;3,500 ;III ;3
FOKKER BV (Netherlands);60;F60 ;2T/L ;3,500 ;3,500 ;III ;NULL
FOKKER BV (Netherlands);70;F70 ;2J/L ;4,500 ;3,000 ;III ;NULL
FOKKER BV (Netherlands);100;F100 ;2J/L ;3,500 ;3,500 ;III ;7
GAF (Australia);N2/22/24 Nomad, Floatmaster, Missionmaster, Searchmaster ;NOMA ;2T/S ;1,300 ;1,100 ;II ;2
GATES LEARJET CORP. (USA);23;LJ23 ;2J/S ;4,500 ;4,000 ;III ;8
GATES LEARJET CORP. (USA);24;LJ24 ;2J/S+ ;4,500 ;4,000 ;III ;7
GATES LEARJET CORP. (USA);25;LJ25 ;2J/S+ ;4,500 ;4,000 ;III ;9
GATES LEARJET CORP. (USA);28, 29 ;LJ28 ;2J/S+ ;4,500 ;4,000 ;III ;7
GATES LEARJET CORP. (USA);31;LJ31 ;2J/S+ ;4,500 ;4,000 ;III ;7
GATES LEARJET CORP. (USA);35, 36 (C-21, RC-35, RC-36, U-36) ;LJ35 ;2J/S+ ;4,500 ;4,000 ;III ;9
GATES LEARJET CORP. (USA);40;LJ40 ;2J/S+ ;NULL;NULL;III ;NULL
GATES LEARJET CORP. (USA);45;LJ45 ;2J/S+ ;NULL;NULL;III ;NULL
GATES LEARJET CORP. (USA);55;LJ55 ;2J/S+ ;5,000 ;4,000 ;III ;8
GATES LEARJET CORP. (USA);60;LJ60 ;2J/S+ ;5,000 ;4,000 ;III ;10
GENERAL DYNAMICS CORP. (USA);Canso/Catalina*** ;CAT ;2P/S+ ;600;600;III ;7
GENERAL DYNAMICS CORP. (USA);Convair 240/340/440, Liner, HC-131 ;CVLP ;2P/L ;1,000 ;800;III ;7
GENERAL DYNAMICS CORP. (USA);Convair 540/580/600/640 ;CVLT ;2T/L ;1,500 ;1,500 ;III ;7
GENERAL DYNAMICS CORP. (USA);F-111, EF-111, (RF-111 Aardvark, Raven ;F111* ;2J/L ;5,000 ;5,000 ;III ;NULL
GENERAL DYNAMICS CORP. (USA);F-16 A/B/C/D/N, NF-16, TF-16 Fighting Falcon, Netz, Barak, Brakeet ;F16* ;1J/L ;8,000 ;5,000 ;III ;NULL
GENERAL DYNAMICS CORP. (USA);F-16XL Fighting Falcon ;F16X* ;1J/L ;NULL;NULL;III ;NULL
GENERAL DYNAMICS CORP. (USA);Valiant ;VALI ;1P/S ;600;750;I ;NULL
GREAT LAKES (USA);2T-1 Sport Trainer, Sport ;G2T1 ;1P/S ;1,000 ;800;I ;NULL
GROB (FRG);G109 Ranger (Vigilant) ;G109 ;1P/S ;600;600;I ;2
GROB (FRG);G115 A/B/C/D/E, Bavarian (Heron), Tutoa ;G115 ;1P/S ;1,200 ;1,100 ;I ;NULL
GROB (FRG);G-120 ;G120 ;1P/S ;1,280 ;NULL;I ;NULL
GRUMMAN AEROSPACE CORP. (USA);A-6, EA-6, KA-6 Intruder, Prowler (G-128) ;A6* ;2J/L ;7,500 ;5,000 ;III ;NULL
GRUMMAN AEROSPACE CORP. (USA);AA1 Trainer,Tr2, T-Cat, Lynx ;AA1 ;1P/S ;850;1,250 ;I ;1
GRUMMAN AEROSPACE CORP. (USA);AA-5, Traveller, Cheetah Tiger ;AA5 ;1P/S ;660;1,000 ;I ;1
GRUMMAN AEROSPACE CORP. (USA);C-1, TF Trader (G-96) ;G96 ;2P/S+ ;NULL;NULL;III ;NULL
GRUMMAN AEROSPACE CORP. (USA);C-2 Greyhound ;C2 ;2T/L ;1,000 ;2,200 ;III ;NULL
GRUMMAN AEROSPACE CORP. (USA);E-2, TE-2, Hawkeye, Daya ;E2 ;2T/L ;2,690 ;3,000 ;III ;NULL
GRUMMAN AEROSPACE CORP. (USA);F-3F (G-11/32), Replica ;F3F ;1P/S ;NULL;NULL;I ;NULL
GRUMMAN AEROSPACE CORP. (USA);F-6F Hellcat (G-50) ;HCAT ;1P/S+ ;NULL;NULL;III ;NULL
GRUMMAN AEROSPACE CORP. (USA);F-7F Tigercat (G-51) ;TCAT ;2P/S+ ;NULL;NULL;III ;NULL
GRUMMAN AEROSPACE CORP. (USA);F-9F Panther (G-79) ;F9F ;1JS+ ;NULL;NULL;III ;NULL
GRUMMAN AEROSPACE CORP. (USA);F-14 Tomcat ;F14* ;2J/L ;6,000 ;4,000 ;III ;NULL
GRUMMAN AEROSPACE CORP. (USA);G-164 Ag-Cat, Super Ag-Cat ;G164 ;1P/S ;1,500 ;1,500 ;I ;1
GRUMMAN AEROSPACE CORP. (USA);G164 Turbo Ag-Cat ;G64T ;1T/S ;1,500 ;1,500 ;I ;1
GRUMMAN AEROSPACE CORP. (USA);G-21 A/38/39 Goose (JRF)*** ;G21 ;2P/S ;1,000 ;1,000 ;II ;NULL
GRUMMAN AEROSPACE CORP. (USA);G-44 Widgeon (J4F)*** ;G44 ;2P/S ;1,000 ;1,500 ;II ;5
GRUMMAN AEROSPACE CORP. (USA);G-73 Mallard*** ;G73 ;2P/S+ ;1,600 ;1,600 ;III ;6
GRUMMAN AEROSPACE CORP. (USA);G-73T Turbo Mallard*** ;G73T ;2T/S+ ;NULL;NULL;III ;NULL
GRUMMAN AEROSPACE CORP. (USA);G-1159, G-1159B Gulfstream 2/2B/2SP (C-20J, VC-111) ;GLF2 ;2J/L ;5,000 ;4,000 ;III ;8
GRUMMAN AEROSPACE CORP. (USA);GA-7 Cougar ;GA7 ;2P/S ;1,600 ;1,500 ;II ;1
GRUMMAN AEROSPACE CORP. (USA);HU-16, SA-16, UF Albatross (G-64/111)*** ;U16 ;2P/S+ ;1,500 ;1,500 ;III ;4
GRUMMAN AEROSPACE CORP. (USA);OV-1, RV-1, AO-1 Mohawk (G-134) ;V1 ;2T/S+ ;2,100 ;1,300 ;III ;NULL
GRUMMAN AEROSPACE CORP. (USA);S-2, S2F, P-16 Tracker (G-89) ;S2P ;2P/S+ ;NULL;NULL;III ;NULL
GRUMMAN AEROSPACE CORP. (USA);S-2 Turbo Tracker ;S2T ;2T/S+ ;NULL;NULL;III ;NULL
GRUMMAN AEROSPACE CORP. (USA);X-29 (712) ;X29 ;1J/S+ ;NULL;NULL;III ;NULL
GULFSTREAM AEROSPACE CORP. (USA);690 Jetprop Commander 840/900 ;AC90 ;2T/S ;2,500 ;2,500 ;II ;NULL
GULFSTREAM AEROSPACE CORP. (USA);695 Jetprop Commander 980/1000 ;AC95 ;2T/S ;2,500 ;2,500 ;II ;NULL
GULFSTREAM AEROSPACE CORP. (USA);AA-1 T-Cat, Lynx ;AA1 ;1P/S ;850;1,250 ;I ;NULL
GULFSTREAM AEROSPACE CORP. (USA);AA-5 Traveler, Cheetah, Tiger ;AA5 ;1P/S ;660;1,000 ;I ;NULL
GULFSTREAM AEROSPACE CORP. (USA);GA-7 Cougar ;GA7 ;2P/S ;1,600 ;1,500 ;II ;NULL
GULFSTREAM AEROSPACE CORP. (USA);GAC 159-C, Gulfstream 1 ;G159 ;2T/S+ ;2,000 ;2,000 ;III ;7
GULFSTREAM AEROSPACE CORP. (USA);G-1159, G-1159B/TT Gulfstream 2/2B/2SP/2TT ;GLF2 ;2J/L ;5,000 ;4,000 ;III ;NULL
GULFSTREAM AEROSPACE CORP. (USA);G-1159A Gulfstream 3/SRA-1, SMA-3 (C20A/B/C/D/E) ;GLF3 ;2J/L ;5,000 ;4,000 ;III ;8
GULFSTREAM AEROSPACE CORP. (USA);G-1159C Gulfstream 300/4/4SP/ 400/SRA-4 (C-20F/G/H, S102, Tp102, U-4) ;GLF4 ;2J/L ;5,000 ;4,000 ;III ;8
GULFSTREAM AEROSPACE CORP. (USA);G-1159D Gulfstream 5/500/550 (C-37) ;GLF5 ;2J/L ;5,000 ;4,000 ;III ;7
HAMILTON AVIATION (USA);Westwind 2/3 ;B18T ;2T/S ;2,000 ;2,000 ;II ;1
HAMILTON AVIATION (USA);Little Liner ;BE18 ;2P/S ;1,400 ;1,000 ;II ;NULL
HAMILTON AVIATION (USA);T-28 Nomair ;T28 ;1P/S ;2,500 ;2,500 ;I ;NULL
HANDLEY PAGE (UK);HP-137 Jetstream 1 ;JS1 ;2T/S+ ;2,200 ;2,200 ;III ;NULL
HANDLEY PAGE (UK);HP-137 Jetstream 200 (T.Mk1/2) ;JS20 ;2T/S+ ;2,200 ;2,200 ;III ;NULL
HELIO AIRCRAFT COMPANY (USA);H-391/392/395/250/295/700/800, HT-295 Courier, Strato-Courier, Super Courier (U-10) ;COUR ;1P/S ;850;1,000 ;I ;1
HELIO AIRCRAFT COMPANY (USA);HST-550 Stallion (AU-24) ;STLN ;1T/S ;2,200 ;2,200 ;I ;1
HELIO AIRCRAFT COMPANY (USA);H-500 Twin Courier (U-5) ;TCOU ;2P/S ;1,250 ;1,500 ;II ;1
HFB (FRG) ;HFB-320 Hansa ;HF20 ;2J/S+ ;4,500 ;4,500 ;III ;7
HOWARD (USA);250, 350 ;L18 ;2P/L ;1,800 ;2,000 ;III ;8
HOWARD (USA);DGA-15 (GH Nightingale, NH) ;DG15 ;1P/S ;1,000 ;1,000 ;I ;NULL
IAI (Israel);101 Avara, 102, 201, 202 ;ARVA ;2T/S+ ;1,300 ;1,000 ;III ;5
IAI (Israel);1123 Westwind ;WW23 ;2J/S+ ;4,000 ;3,500 ;III ;7
IAI (Israel);1124 Westwind ;WW24 ;2J/S+ ;4,000 ;3,500 ;III ;7
IAI (Israel);1125 Gulfstream 100, (C-38) ;ASTR ;2J/S+ ;4,000 ;3,500 ;III ;7
IAI (Israel);1126 Gulfstream 200 ;GALX ;2J/S+ ;NULL;NULL;III ;NULL
IAI (Israel);Gulfstream 150 ;G150 ;2J/S+ ;NULL;NULL;III ;NULL
ILYUSHIN (Russia);A-50, Be-976 ;A50 ;4J/H ;NULL;NULL;III ;NULL
ILYUSHIN (Russia);Il-14 ;IL14 ;2P/S+ ;NULL;NULL;III ;NULL
ILYUSHIN (Russia);Il-18/20/22/24, Bizon, Zebra ;IL18 ;4T/L ;NULL;NULL;III ;NULL
ILYUSHIN (Russia);Il-28 ;IL28 ;2J/L ;NULL;NULL;III ;NULL
ILYUSHIN (Russia);Il-38 ;IL38 ;4J/L ;NULL;NULL;III ;NULL
ILYUSHIN (Russia);IL-62 ;IL62 ;4J/H ;3,500 ;2,500 ;III ;NULL
ILYUSHIN (Russia);IL-76/78/82, Gajaraj ;IL76 ;4J/H ;3,000 ;2,500 ;III ;NULL
ILYUSHIN (Russia);Il-86/87 ;IL86 ;4J/H ;NULL;NULL;III ;NULL
ILYUSHIN (Russia);Il-96 ;IL96 ;4J/H ;NULL;NULL;III ;NULL
ILYUSHIN (Russia);Il-103 ;I103 ;1P/S ;NULL;NULL;I ;NULL
ILYUSHIN (Russia);Il-114 ;I114 ;2T/L ;NULL;NULL;III ;NULL
LAKE AIRCRAFT (USA);LA-250/270 (Turbo) Renegade, Seawolf, SeaFury*** ;LA25 ;1P/S ;700;700;I ;2
LAKE AIRCRAFT (USA);LA-4/200, Buccaneer*** ;LA4 ;1P/S ;1,100 ;1,000 ;I ;2
LOCKHEED CORP. (USA);B-34, PV Venture, Harpoon (L-15/137/237) ;L37 ;2P/S+ ;NULL;NULL;III ;NULL
LOCKHEED CORP. (USA);C-5 Galaxy (L-500) ;C5 ;4J/H ;2,500 ;2,000 ;III ;NULL
LOCKHEED CORP. (USA);C-130A/B/E/F/H, CC-130, DC-130, EC-130/E/G/H/Q, HC-130, JC-130, KC-130B/F/H/R/T, LC-130, MC-130, NC-130, RC-130, TC-130, VC-130, WC-130E/H, T-10, TK-10, TL-10, Tp84 Hercules, Spectre, Aya, Karnaf, Sapeer (L-100/182/282/382) ;C130 ;4T/L ;1,500 ;1,500 ;III ;NULL
LOCKHEED CORP. (USA);C-141 Starlifter (L-300) ;C141 ;4J/H ;3,500 ;3,000 ;III ;NULL
LOCKHEED CORP. (USA);L-049/749/1049 Constellation, Super Constellation, Starliner (C-121, RC-121, EC-121, VC-121, WV, R7V, Warning Star) ;CONI ;4P/L ;1,700 ;1,700 ;III ;9
LOCKHEED CORP. (USA);F-22 Raptor (L-645) ;F22* ;2J/L ;NULL;NULL;III ;NULL
LOCKHEED CORP. (USA);F-104, RF-104, TF-104 Starfighter (L583/683) ;F104* ;1J/L ;5,000 ;4,000 ;III ;NULL
LOCKHEED CORP. (USA);F-117 Nighthawk ;F117 ;2J/L ;NULL;NULL;III ;NULL
LOCKHEED CORP. (USA);L-1011 Tri-Star (all series) ;L101 ;3J/H ;3,500 ;3,000 ;III ;9
LOCKHEED CORP. (USA);L-18 Lodestar (C-56/57/59/60, R50, XR50) ;L18 ;2P/L ;1,800 ;2,000 ;III ;NULL
LOCKHEED CORP. (USA);L-188 Electra ;L188 ;4T/L ;1,850 ;2,000 ;III ;7
LOCKHEED CORP. (USA);L-1329 Jetstar 6/8 ;L29A ;4J/L ;4,000 ;3,500 ;III ;8
LOCKHEED CORP. (USA);L-1329-5 Jetstar 2/731 ;L29B ;4J/L ;4,000 ;3,000 ;III ;9
LOCKHEED CORP. (USA);P-2D to H, SP-2, P2V Neptune (L-426/726/826) ;P2 ;2P/L ;NULL;NULL;III ;NULL
LOCKHEED CORP. (USA);P-3, AP-3, EP-3, NP-3, RP-3, TP-3, UP-3, VP-3, WP-3, CP-140 Orion, Aurora, Arcturus (L-85/285/685/785) ;P3 ;4T/L ;1,850 ;2,000 ;III ;NULL
LOCKHEED CORP. (USA);P-38, F-5 Lightning (L-222/322/422) ;P38 ;2P/S+ ;NULL;NULL;III ;NULL
LOCKHEED CORP. (USA);S-3, ES-3, US-3 Viking (L-394) ;S3 ;2J/L ;2,000 ;2,000 ;III ;NULL
LOCKHEED CORP. (USA);SR-71 Blackbird ;SR71 ;2J/L ;NULL;NULL;III ;NULL
LOCKHEED CORP. (USA);T-33, AT-33, NT-33, RT-33 Shooting Star, T-Bird (L-580) ;T33* ;2J/L ;2,000 ;2,000 ;III ;NULL
LOCKHEED CORP. (USA);U-2, ER-2 ;U2* ;1J/S+ ;6,000 ;6,000 ;III ;NULL
MARTIN COMPANY (USA);404;M404 ;2P/L ;1,600 ;1,500 ;III ;3
MARTIN COMPANY (USA);B-26 Marauder (179) ;B26M ;2P/S+ ;NULL;NULL;III ;NULL
MARTIN COMPANY (USA);WB-57 (272) ;WB57 ;2J/L ;NULL;NULL;III ;NULL
